SID,WORD,POS
1,absorb,v.
6,accommodate,v.
7,accomplish,v.
12,activate,v.
17,adjust,v.
30,anticipate,v.
39,assign,v.
42,assure,v.
73,boost,v.
92,chase,v.
95,cheer,v.
98,chop,v.
101,clarify,v.
102,classify,v.
116,compose,v.
120,comprise,v.
124,confess,v.
132,consult,v.
140,convey,v.
142,cope,v.
147,crack,v.
153,cruise,v.
160,dare,v.
168,delete,v.
172,depart,v.
176,derive,v.
180,devote,v.
181,differ,v.
185,disappoint,v.
187,discourage,v.
191,distinguish,v.
192,distract,v.
193,disturb,v.
194,dive,v.
197,divorce,v.
205,dump,v.
216,eliminate,v.
217,embrace,v.
225,equip,v.
228,erupt,v.
235,evolve,v.
236,exceed,v.
239,exclude,v.
240,exhibit,v.
245,exploit,v.
268,forecast,v.
283,fulfil,v.
312,heal,v.
333,implement,v.
336,incorporate,v.
343,infer,v.
348,inherit,v.
353,insert,v.
358,integrate,v.
360,interact,v.
364,invade,v.
367,isolate,v.
398,manufacture,v.
405,mate,v.
426,motivate,v.
436,negotiate,v.
450,occupy,v.
481,pause,v.
485,perceive,v.
493,precede,v.
505,proceed,v.
508,prohibit,v.
511,prompt,v.
532,rebuild,v.
535,reckon,v.
538,recruit,v.
544,regulate,v.
545,reinforce,v.
546,relieve,v.
551,resign,v.
553,restore,v.
554,restrict,v.
564,rob,v.
570,ruin,v.
574,scare,v.
579,scratch,v.
604,specialize,v.
605,specify,v.
608,speculate,v.
611,spill,v.
613,spoil,v.
621,starve,v.
624,stimulate,v.
625,strengthen,v.
639,suspend,v.
641,swallow,v.
643,tackle,v.
645,tag,v.
646,tap,v.
657,terrify,v.
675,trace,v.
680,transmit,v.
682,trap,v.
686,trigger,v.
695,unfold,v.
697,unite,v.
711,wander,v.
720,withdraw,v.
